0:1	Account: xebmt004	 Name: XeÙN­ícÙMÝa3	 Level: 92	 IP Address: 27.79.43.143 : 53348
5:23	Account: ribi06	 Name: BOsssss03	 Level: 1	 IP Address: 14.245.58.184 : 3654
5:25	Account: sangtpbrvt4	 Name: SangTp444	 Level: 92	 IP Address: 171.249.86.126 : 49826
5:26	Account: thangvl5	 Name: 5TLSuco	 Level: 101	 IP Address: 183.81.86.145 : 25645
5:26	Account: thangvl6	 Name: 6Vâ®ang	 Level: 97	 IP Address: 183.81.86.145 : 25661
5:27	Account: thangvl7	 Name: 7NgaMiBuffBuff	 Level: 96	 IP Address: 183.81.86.145 : 25671
5:28	Account: sangtpbrvt3	 Name: SangTp333	 Level: 91	 IP Address: 171.249.86.126 : 49830
5:28	Account: thangvl8	 Name: 8ThóyYªnTû	 Level: 97	 IP Address: 183.81.86.145 : 25674
5:28	Account: thangvl9	 Name: 9§écV«Biªn	 Level: 98	 IP Address: 183.81.86.145 : 25678
5:30	Account: sangtpbrvt1	 Name: SangTp111	 Level: 93	 IP Address: 171.249.86.126 : 49834
5:30	Account: sangtpbrvt6	 Name: SangTp666	 Level: 91	 IP Address: 171.249.86.126 : 49841
5:35	Account: sangtpbrvt4	 Name: SangTp444	 Level: 92	 IP Address: 171.249.86.126 : 49848
5:57	Account: sangtpbrvt5	 Name: SangTp555	 Level: 84	 IP Address: 171.249.86.126 : 49875
6:0	Account: thangvl5	 Name: 5TLSuco	 Level: 101	 IP Address: 183.81.86.145 : 25832
6:1	Account: thangvl5	 Name: 5TLSuco	 Level: 101	 IP Address: 183.81.86.145 : 25838
6:12	Account: thangvl10	 Name: 10HáaCaCa	 Level: 98	 IP Address: 183.81.86.145 : 25894
6:15	Account: sangtpbrvt5	 Name: SangTp555	 Level: 84	 IP Address: 171.249.86.126 : 49906
6:31	Account: nam92hd6	 Name: Gi÷ÙR¸c01	 Level: 1	 IP Address: 171.234.111.233 : 1680
6:31	Account: nam92hd6	 Name: Gi÷ÙR¸c01	 Level: 80	 IP Address: 171.234.111.233 : 1682
6:32	Account: nonhandl	 Name: NhËmÙNg·ÙHµnhÙ	 Level: 110	 IP Address: 118.68.135.141 : 55424
6:33	Account: nonhantl	 Name: V«DanhÙThÇnÙT¨ng	 Level: 97	 IP Address: 118.68.135.141 : 55427
6:33	Account: nonhannm	 Name: NhËmÙDoanhÙDoanh	 Level: 95	 IP Address: 118.68.135.141 : 55431
6:34	Account: nonhanvd	 Name: Tr­¬ngÙCh©nÙNh©n	 Level: 80	 IP Address: 118.68.135.141 : 55433
6:34	Account: nonhanvd	 Name: Vâ§angÙCh©nÙNh©n	 Level: 84	 IP Address: 118.68.135.141 : 55435
6:35	Account: nonhantn1	 Name: Th¸nhÙC«	 Level: 93	 IP Address: 118.68.135.141 : 55439
6:36	Account: nonhandm	 Name: ThµnhÙC¸tÙT­ÙH·n	 Level: 81	 IP Address: 118.68.135.141 : 55441
6:36	Account: dm0001	 Name: dm0001	 Level: 84	 IP Address: 118.68.135.141 : 55443
6:38	Account: nam92hd5	 Name: CuÙChäcÙNg­îc	 Level: 92	 IP Address: 171.234.111.233 : 2367
6:56	Account: dophohk	 Name: TTÙTHBT	 Level: 80	 IP Address: 118.68.135.141 : 55464
6:56	Account: dophohk	 Name: HoangKim	 Level: 80	 IP Address: 118.68.135.141 : 55466
6:57	Account: nonhandophoi	 Name: DoPhoi1	 Level: 80	 IP Address: 118.68.135.141 : 55472
6:59	Account: dophoi1	 Name: SinhLucNoiLuc	 Level: 1	 IP Address: 118.68.135.141 : 55521
7:2	Account: nonhantn	 Name: HµnÙL©mÙNhi	 Level: 93	 IP Address: 118.68.135.141 : 55525
7:2	Account: nonhantn	 Name: HµnÙL©mÙNhi	 Level: 93	 IP Address: 118.68.135.141 : 55527
7:18	Account: bando	 Name: HDÙMÑThiªnH¹	 Level: 102	 IP Address: 58.187.66.208 : 32247
7:21	Account: nonhantn3	 Name: ThiªnÙNhÉnÙ03	 Level: 1	 IP Address: 113.165.166.236 : 1716
7:24	Account: tranhoangcham	 Name: KeVoDanh	 Level: 90	 IP Address: 14.240.144.233 : 1469
7:27	Account: tranhoangcham2	 Name: AuDuongPhong1	 Level: 80	 IP Address: 14.240.144.233 : 1554
7:29	Account: luukt53	 Name: NgoalongVD	 Level: 114	 IP Address: 123.25.218.214 : 47189
7:30	Account: dm0001	 Name: dm0001	 Level: 84	 IP Address: 14.168.28.44 : 51664
7:32	Account: luukt51	 Name: NgoaLongTN	 Level: 91	 IP Address: 123.25.218.214 : 47304
7:33	Account: luukt52	 Name: NgoalongTN	 Level: 91	 IP Address: 123.25.218.214 : 47323
7:34	Account: tranhoangcham1	 Name: Duonggia	 Level: 81	 IP Address: 14.240.144.233 : 1585
7:34	Account: luukt54	 Name: NgoalongNM	 Level: 92	 IP Address: 123.25.218.214 : 47353
7:35	Account: kingvl1	 Name: HáaLongCaCa	 Level: 87	 IP Address: 58.187.66.208 : 2663
7:35	Account: xuxuka1	 Name: GioMayMuonSao	 Level: 80	 IP Address: 42.118.236.167 : 7182
7:36	Account: luukt55	 Name: NgoalongCB	 Level: 95	 IP Address: 123.25.218.214 : 47380
7:36	Account: dm0001	 Name: dm0001	 Level: 84	 IP Address: 14.168.28.44 : 51903
7:37	Account: luukt56	 Name: NgoalongND	 Level: 93	 IP Address: 123.25.218.214 : 47404
7:37	Account: tranhoangcham3	 Name: CaITheAnhung	 Level: 80	 IP Address: 14.240.144.233 : 1683
7:42	Account: tranhoangcham1	 Name: Duonggia	 Level: 81	 IP Address: 14.240.144.233 : 1826
